esz_id,station_id,est_population,total_points,data_quality_flag,total_units,pct_hydrant_1000ft,pct_flood_ae,sfr_units,sfr_pct,sfr_grnd_sqft,sfr_avg_yrbl,sfr_hyd_pct,sfr_flood_pct,mobile_units,mobile_pct,mobile_grnd_sqft,mobile_avg_yrbl,mobile_hyd_pct,mobile_flood_pct,multifamily_units,multifamily_pct,multifamily_grnd_sqft,multifamily_avg_yrbl,multifamily_hyd_pct,multifamily_flood_pct,alf_units,alf_pct,alf_grnd_sqft,alf_avg_yrbl,alf_hyd_pct,alf_flood_pct,retail_units,retail_pct,retail_grnd_sqft,retail_avg_yrbl,retail_hyd_pct,retail_flood_pct,industrial_units,industrial_pct,industrial_grnd_sqft,industrial_avg_yrbl,industrial_hyd_pct,industrial_flood_pct,institutional_units,institutional_pct,institutional_grnd_sqft,institutional_avg_yrbl,institutional_hyd_pct,institutional_flood_pct,school_units,school_pct,school_grnd_sqft,school_avg_yrbl,school_hyd_pct,school_flood_pct,government_units,government_pct,government_grnd_sqft,government_avg_yrbl,government_hyd_pct,government_flood_pct,vacant_units,vacant_pct,vacant_grnd_sqft,vacant_avg_yrbl,vacant_hyd_pct,vacant_flood_pct
83-024-H,ST83,0,7,,7,57.1,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,5,71.4,0,,60.0,100.0,0,0.0,0,,,,0,0.0,0,,,,1,14.3,217736,,100.0,100.0,1,14.3,0,,0.0,100.0,0,0.0,0,,,
83-030-H,ST83,438,252,,252,93.3,100.0,194,77.0,420592,2014,100.0,100.0,0,0.0,0,,,,1,0.4,0,,100.0,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,57,22.6,0,,70.2,100.0
83-031-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-033-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-034-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-035-H,ST83,865,392,,392,99.7,54.5,382,97.4,1192255,2018,100.0,44.4,0,0.0,0,,,,3,0.8,0,,66.7,100.0,0,0.0,0,,,,1,0.3,0,,100.0,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,6,1.5,0,,100.0,
83-036-H,ST83,101,46,,46,97.8,100.0,45,97.8,162200,2012,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,2.2,0,,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,
83-041-N,ST83,596,506,,507,51.7,98.9,263,51.9,677244,2010,49.8,100.0,0,0.0,0,,,,2,0.4,3279,2005,0.0,,0,0.0,0,,,,3,0.6,0,,33.3,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,239,47.1,0,,54.4,97.6
83-042-N,ST83,536,592,,592,69.3,58.2,238,40.2,626791,2012,65.5,49.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.2,11938,,100.0,100.0,353,59.6,0,,71.7,63.3
83-043-N,ST83,476,437,,438,55.3,76.3,210,47.9,562623,2010,58.6,77.0,0,0.0,0,,,,2,0.5,4021,2002,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,226,51.6,0,,52.7,74.5
83-044-N,ST83,525,471,,473,53.1,77.4,230,48.6,589134,2011,53.9,78.4,0,0.0,0,,,,4,0.8,9365,2002,100.0,100.0,0,0.0,0,,,,1,0.2,14893,,100.0,0.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,238,50.3,0,,51.3,76.7
83-045-N,ST83,0,576,,576,0.0,86.7,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,576,100.0,0,,0.0,86.7
83-046-N,ST83,0,522,,522,0.0,51.2,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,522,100.0,0,,0.0,51.2
83-047-N,ST83,0,292,,292,0.0,91.5,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.3,0,,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,291,99.7,0,,0.0,91.4
83-048-N,ST83,0,768,,768,0.0,88.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,768,100.0,0,,0.0,88.0
